TRRN,Timestamp,Amount,Year,Month,Employees,Link
2032112016583,22-DEC-2021 11:49:58,"58,876",21,NOV,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-69-9CB7473B818814C765753304BC926813
2032111005062,12-NOV-2021 18:07:02,"3,03,225",21,OCT,12,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-72-9CB7473B818814C765753304BC926813
2032111005055,12-NOV-2021 18:09:48,"58,875",21,OCT,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-68-9CB7473B818814C765753304BC926813
2032111005051,12-NOV-2021 18:12:17,"2,45,20,616",21,OCT,680,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-37-9CB7473B818814C765753304BC926813
2032111005067,12-NOV-2021 18:03:14,"60,630",21,SEP,2,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-104-9CB7473B818814C765753304BC926813
2032110010357,14-OCT-2021 16:09:46,"2,45,20,922",21,SEP,672,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-97-9CB7473B818814C765753304BC926813
2032110010295,14-OCT-2021 16:04:05,"1,79,704",21,SEP,10,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-51-9CB7473B818814C765753304BC926813
2032110010293,14-OCT-2021 15:59:33,"58,875",21,SEP,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-34-9CB7473B818814C765753304BC926813
2032110010291,14-OCT-2021 15:56:46,"2,500",21,AUG,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-113-9CB7473B818814C765753304BC926813
2032109009062,16-SEP-2021 04:53:13,"2,47,83,054",21,AUG,620,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-84-9CB7473B818814C765753304BC926813
2032109009054,16-SEP-2021 04:53:13,"56,425",21,AUG,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-82-9CB7473B818814C765753304BC926813
2032111005072,12-NOV-2021 18:00:15,"21,513",21,AUG,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-57-9CB7473B818814C765753304BC926813
2032108019626,01-SEP-2021 13:24:13,"7,22,659",21,AUG,14,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-36-9CB7473B818814C765753304BC926813
2032109009053,16-SEP-2021 04:53:13,"2,62,639",21,AUG,18,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-33-9CB7473B818814C765753304BC926813
2032108008283,13-AUG-2021 19:45:46,"2,13,25,182",21,JUL,621,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-103-9CB7473B818814C765753304BC926813
2032109009043,16-SEP-2021 04:53:13,"22,308",21,JUL,2,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-67-9CB7473B818814C765753304BC926813
2032110010288,14-OCT-2021 15:54:27,"2,500",21,JUL,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-56-9CB7473B818814C765753304BC926813
